property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 53,4.65,17573.696145124715,5.0,5.0,3+,1.0,Moderately Old,2646.0,0,0,0,0,0,2,0
flat,vatika the seven lamps,sector 82,1.37,6850.000000000001,3.0,3.0,3,11.0,Relatively New,2000.0,1,1,0,1,0,2,145
flat,tulip violet,sector 69,2.0,10995.052226498075,4.0,4.0,2,0.0,Relatively New,1819.0,0,0,0,0,0,0,95
house,independent,sector 8,0.82,9203.142536475869,4.0,4.0,0,2.0,Moderately Old,891.0,0,0,0,0,0,0,0
house,emaar mgf marbella,sector 66,18.0,55555.555555555555,4.0,4.0,3+,3.0,Moderately Old,3240.0,1,1,0,1,0,1,75
flat,emaar mgf emerald floors premier,sector 65,2.35,15666.666666666666,3.0,3.0,3,2.0,Relatively New,1500.0,1,1,0,0,0,2,64
flat,pareena laxmi apartments,sector 99a,0.3,5870.841487279843,2.0,1.0,2,5.0,New Property,511.0,0,0,0,0,0,0,66
flat,bptp terra,sector 37d,1.17,9169.278996865203,2.0,2.0,2,0.0,Relatively New,1276.0,0,0,0,0,0,0,107
flat,signature global solera,sector 107,0.51,7112.970711297071,3.0,2.0,2,9.0,Relatively New,717.0,0,0,0,0,1,0,15
flat,godrej nature plus,sector 33,1.67,8992.999461497038,3.0,2.0,2,18.0,Under Construction,1857.0,0,0,0,0,0,0,67
house,independent,sector 47,4.6,26620.37037037037,7.0,6.0,3+,4.0,Moderately Old,1728.0,0,0,0,0,0,1,51
flat,shapoorji pallonji joyville gurugram,sector 102,1.26,11454.545454545454,2.0,2.0,2,10.0,Relatively New,1100.0,0,0,0,0,0,0,108
flat,ireo the corridors,sector 67a,1.8,11605.41586073501,3.0,3.0,2,3.0,New Property,1551.0,1,0,1,0,0,2,150
flat,the close north,sector 50,2.35,11750.0,3.0,3.0,3,8.0,Moderately Old,2000.0,0,0,1,0,0,2,149
flat,assotech blith,sector 99,1.9,6701.940035273368,4.0,4.0,3+,2.0,New Property,2835.0,0,0,0,0,0,0,51
flat,city shri ram apartments 1,sector 110,0.22,4051.5653775322285,2.0,1.0,1,1.0,Relatively New,543.0,0,0,0,0,0,0,0
house,independent,sector 46,5.65,23869.877482044783,8.0,6.0,3+,3.0,Moderately Old,2367.0,0,1,0,0,0,2,67
flat,piedmont taksila heights,sector 37c,1.05,6041.426927502876,3.0,3.0,3,7.0,Relatively New,1738.0,0,0,0,0,0,2,81
house,independent,sector 55,1.64,91111.1111111111,3.0,3.0,2,4.0,New Property,180.0,1,1,0,0,0,2,54
flat,paras dews,sector 106,1.42,6663.53824495542,4.0,6.0,3+,11.0,Relatively New,2131.0,0,1,0,0,0,0,143
flat,mapsko casa bella,sector 82,1.25,7046.223224351747,3.0,4.0,3+,8.0,Under Construction,1774.0,0,0,0,0,0,0,54
house,independent,sector 56,12.39,45888.88888888889,16.0,18.0,3+,4.0,New Property,2700.0,0,1,0,1,0,2,49
flat,tulip purple,sector 69,2.6,11970.534069981584,4.0,4.0,3+,4.0,Moderately Old,2172.0,0,1,0,0,0,0,37
house,independent,sector 40,2.15,215000.0,3.0,3.0,3,3.0,Moderately Old,100.0,1,0,1,1,0,0,45
flat,hcbs sports ville,sohna road,0.32,4968.944099378882,2.0,2.0,1,7.0,New Property,644.0,0,0,0,0,0,0,37
flat,vatika xpressions,sector 88b,0.92,7076.923076923077,2.0,2.0,2,3.0,Relatively New,1300.0,0,0,0,1,0,0,174
flat,parsvnath exotica,sector 53,4.8,16580.310880829016,3.0,4.0,3+,12.0,New Property,2895.0,0,0,0,0,0,0,69
flat,raheja navodaya,sector 92,1.1,4680.851063829788,3.0,2.0,3,0.0,Relatively New,2350.0,0,0,0,0,0,0,0
flat,puri the aravallis,sector 61,3.9,33219.76149914821,3.0,4.0,3+,33.0,Under Construction,1174.0,0,1,0,0,0,0,158
flat,pyramid urban homes 2,sector 86,0.5,7485.029940119761,2.0,2.0,1,2.0,Relatively New,668.0,0,0,0,0,0,0,35
flat,dlf new town heights,sector 90,2.0,8103.727714748785,4.0,4.0,3+,20.0,Moderately Old,2468.0,0,1,0,0,1,0,49
flat,eldeco accolade,sector 33,1.2,8042.8954423592495,2.0,2.0,2,0.0,Under Construction,1492.0,0,0,0,0,0,0,56
house,independent,sector 8,0.59,10085.470085470086,2.0,2.0,2,2.0,Moderately Old,585.0,0,0,0,0,1,0,7
flat,sapphire eighty three,sector 83,0.65,9285.714285714286,1.0,1.0,0,6.0,Relatively New,700.0,0,0,0,0,0,0,0
flat,umang winter hills,sector 77,0.99,8792.184724689165,2.0,2.0,2,1.0,Relatively New,1126.0,0,0,0,0,0,0,97
house,palam vihar extension west zone rwa,sector 2,0.65,5777.777777777777,2.0,2.0,1,1.0,Moderately Old,1125.0,0,0,1,0,0,0,23
flat,ss the leaf,sector 85,2.15,8447.937131630648,4.0,5.0,3+,1.0,Relatively New,2545.0,0,1,0,0,0,0,165
flat,emaar gurgaon greens,sector 102,1.35,10266.15969581749,3.0,3.0,3,9.0,Relatively New,1315.0,0,1,0,0,0,0,100
flat,tulip violet,sector 69,1.75,9814.91867638811,4.0,4.0,1,12.0,Relatively New,1783.0,0,0,0,0,0,0,86
house,international city by sobha phase 1,sector 109,12.0,17142.85714285714,5.0,6.0,3,2.0,Relatively New,7000.0,1,1,0,0,0,2,154
house,uppal southend,sector 49,4.4,15277.777777777777,6.0,6.0,3,3.0,Moderately Old,2880.0,1,1,1,1,0,1,110
flat,eldeco accolade,sohna road,1.1,8339.651250947687,2.0,2.0,3+,17.0,Relatively New,1319.0,1,0,0,0,1,2,7
flat,tata primanti,sector 72,3.5,13333.333333333334,4.0,5.0,3+,10.0,Relatively New,2625.0,0,1,0,0,1,0,38
flat,bestech park view spa next,sector 67,2.85,13399.153737658675,4.0,4.0,3+,5.0,Moderately Old,2127.0,0,1,0,1,0,2,149
flat,m3m the marina,sector 68,1.0,11248.59392575928,2.0,2.0,3,21.0,Relatively New,889.0,0,0,0,0,0,0,31
flat,m3m latitude,sector 65,4.6,26790.914385556203,3.0,3.0,3,7.0,New Property,1717.0,1,1,1,1,0,0,115
house,suncity township,sector 54,25.0,31110.004977600798,4.0,4.0,3+,2.0,Moderately Old,8036.0,1,1,1,1,0,0,0
flat,dlf park place,sector 54,4.85,30180.46048537648,3.0,4.0,3+,6.0,Moderately Old,1607.0,0,1,0,0,0,1,158
flat,bestech park view grand spa,sector 81,4.5,11838.989739542225,4.0,6.0,3+,17.0,Relatively New,3801.0,0,1,0,0,0,2,44
flat,emaar mgf the palm drive,sector 66,2.8,14358.97435897436,3.0,3.0,2,12.0,New Property,1950.0,1,1,0,1,0,1,69
house,independent,sector 37d,1.16,7557.00325732899,1.0,1.0,0,1.0,Relatively New,1535.0,0,0,0,0,0,0,0
house,spaze privy,sector 72,3.09,8458.800985491376,5.0,5.0,3+,14.0,Relatively New,3653.0,0,1,0,0,0,2,33
flat,sare homes,sector 92,0.58,4527.712724434036,3.0,3.0,3,3.0,New Property,1281.0,0,0,0,0,0,0,54
flat,unitech fresco,sector 50,1.8,9625.668449197861,3.0,4.0,3+,6.0,Moderately Old,1870.0,0,1,0,0,0,2,174
house,nirvana country,sector 50,10.0,14285.714285714286,5.0,7.0,2,4.0,Moderately Old,7000.0,0,1,0,0,0,1,0
flat,smart world gems,sector 89,1.01,8238.172920065253,2.0,2.0,2,4.0,Under Construction,1226.0,1,0,0,0,0,0,38
flat,paras dews,sector 106,0.97,8083.333333333333,2.0,2.0,3,6.0,New Property,1200.0,0,0,0,1,0,2,174
flat,signature global park,sohna road,0.54,5856.832971800434,2.0,2.0,1,2.0,Relatively New,922.0,0,0,0,0,0,0,16
house,vipul tatvam villa,sector 48,7.25,27970.679012345678,3.0,4.0,2,2.0,Moderately Old,2592.0,1,1,1,1,0,2,115
flat,breez global heights,sohna road,0.39,5416.666666666667,2.0,2.0,2,3.0,Relatively New,720.0,0,0,0,0,0,0,0
flat,adani aangan galleria,sector 89,0.25,5813.953488372093,1.0,1.0,1,6.0,New Property,430.0,0,0,0,0,0,0,74
flat,la vida by tata housing,sector 113,1.35,12385.321100917432,2.0,2.0,3,10.0,New Property,1090.0,0,0,0,0,0,0,174
flat,godrej,sector 79,1.29,9065.354884047787,2.0,2.0,3,4.0,New Property,1423.0,0,0,0,0,0,0,0
flat,pareena coban residences,sector 99a,1.16,6480.446927374302,3.0,3.0,3,3.0,Relatively New,1790.0,0,1,0,0,1,0,49
flat,central park flower valley,sector 33,1.79,11056.20753551575,3.0,3.0,3,3.0,Old Property,1619.0,0,0,0,0,0,0,71
house,sushant lok 1 builder floors,sector 43,10.85,28841.041998936736,8.0,8.0,3,3.0,Moderately Old,3762.0,1,1,1,1,0,1,160
flat,umang winter hills,sector 77,0.71,6717.123935666982,2.0,2.0,2,6.0,Relatively New,1057.0,1,0,0,0,0,0,108
flat,ambience creacions,sector 22,2.4,20000.0,2.0,2.0,2,8.0,Relatively New,1200.0,0,0,0,0,1,1,112
flat,raheja vedaanta,sector 108,1.5,5263.1578947368425,3.0,4.0,0,12.0,Relatively New,2850.0,0,0,0,0,0,0,0
flat,radhakrishna society,sector 23,0.55,5527.638190954774,2.0,2.0,1,1.0,Moderately Old,995.0,0,0,0,0,0,2,29
flat,adani m2k oyster grande,sector 102,2.5,8638.562543192813,4.0,5.0,3+,5.0,Relatively New,2894.0,0,1,0,0,0,0,76
flat,bptp terra,sector 37d,2.08,9407.507914970602,4.0,4.0,3,0.0,New Property,2211.0,1,1,0,1,0,0,121
flat,emaar mgf the palm drive,sector 66,3.5,16279.06976744186,3.0,4.0,3,6.0,Relatively New,2150.0,0,1,0,0,0,0,68
flat,apna enclave,sector 3,0.8,8000.0,3.0,3.0,1,0.0,Old Property,1000.0,0,0,0,0,0,0,0
flat,unitech uniworld gardens,sector 47,2.15,11025.641025641025,3.0,4.0,3+,10.0,Moderately Old,1950.0,0,1,0,0,0,0,49
flat,paras dews,sector 106,0.88,9361.702127659575,2.0,2.0,3+,1.0,Relatively New,940.0,0,0,0,0,0,0,49
flat,ireo the grand arch,sector 58,3.83,19150.0,3.0,4.0,2,10.0,Relatively New,2000.0,1,1,0,0,0,2,174
flat,unitech vistas,sector 70,0.53,5348.133198789102,2.0,2.0,2,9.0,Under Construction,991.0,0,0,0,0,1,0,24
flat,m3m soulitude,sector 89,1.3,11026.29346904156,3.0,3.0,2,1.0,New Property,1179.0,0,0,0,0,1,0,45
flat,imt view society,manesar,0.95,4256.272401433692,3.0,4.0,3,6.0,Moderately Old,2232.0,0,1,0,0,0,0,81
house,unitech deerwood chase,sector 50,8.45,235376.04456824512,3.0,3.0,2,2.0,Old Property,359.0,1,1,0,0,0,2,102
flat,signature global solera,sector 107,0.36,6020.066889632107,2.0,2.0,1,7.0,Relatively New,598.0,0,0,0,0,1,0,49
flat,ansal housing highland park,sector 103,0.8,5878.030859662013,2.0,2.0,2,9.0,Relatively New,1361.0,0,0,0,0,0,0,0
house,vipul tatvam villa,sector 48,22.0,26666.666666666668,5.0,6.0,3,3.0,Moderately Old,8250.0,0,1,0,0,0,0,54
flat,m3m heights,sector 65,2.65,18492.672714584787,2.0,2.0,3,4.0,New Property,1433.0,1,0,0,0,0,0,38
flat,ambience creacions,sector 22,3.2,12713.547874453714,3.0,4.0,3+,2.0,New Property,2517.0,0,0,0,0,0,0,42
flat,signature global solera,sector 107,0.5,6973.5006973500695,3.0,2.0,2,6.0,Relatively New,717.0,0,0,0,0,1,0,15
flat,indiabulls enigma,sector 110,4.0,11940.298507462687,4.0,4.0,3,17.0,New Property,3350.0,0,0,0,0,0,0,59
flat,godrej,sector 79,1.29,9065.354884047787,2.0,2.0,3,4.0,New Property,1423.0,0,0,0,0,0,0,0
flat,la vida by tata housing,sector 113,1.75,12289.32584269663,2.0,2.0,3,10.0,Relatively New,1424.0,1,0,0,0,0,0,93
flat,emaar palm gardens,sector 83,1.55,11071.42857142857,3.0,3.0,3,4.0,Relatively New,1400.0,0,1,0,0,0,2,174
flat,emaar palm heights,sector 77,2.25,12430.939226519336,3.0,3.0,3,22.0,New Property,1810.0,0,1,0,0,0,2,42
flat,alpha corp gurgaonone,sector 84,2.2,7078.507078507078,4.0,4.0,3+,15.0,Relatively New,3108.0,0,1,0,0,0,0,97
flat,corona gracieux,sector 76,0.75,6255.212677231026,2.0,2.0,3,13.0,Relatively New,1199.0,0,0,0,0,0,2,0
flat,silverglades the melia,sohna road,0.75,5555.555555555556,2.0,2.0,2,4.0,Moderately Old,1350.0,0,0,0,0,0,0,70
house,independent,sector 9,3.2,13519.22264469793,3.0,3.0,2,1.0,Old Property,2367.0,0,0,0,0,0,2,36
house,independent,sector 28,1.45,8055.555555555556,3.0,2.0,1,1.0,Relatively New,1800.0,0,0,0,0,0,0,0
flat,m3m woodshire,sector 107,0.8,6644.518272425249,2.0,2.0,3+,6.0,Relatively New,1204.0,0,0,0,1,0,2,174
flat,sbtl caladium,sector 109,1.6,6947.459834997829,3.0,3.0,3,9.0,Relatively New,2303.0,0,1,0,0,0,0,75
flat,supertech araville,sector 79,0.78,6655.290102389078,2.0,2.0,3+,0.0,New Property,1172.0,0,0,0,0,1,0,74
flat,supertech araville,sector 79,1.1,5076.1421319796955,3.0,3.0,3,1.0,Relatively New,2167.0,0,0,0,0,0,2,106
flat,sbtl caladium,sector 109,1.68,7294.83282674772,3.0,3.0,3+,7.0,Moderately Old,2303.0,0,1,0,0,0,0,134
flat,puri emerald bay,sector 104,1.59,11332.858161083393,2.0,2.0,2,12.0,Relatively New,1403.0,0,0,0,0,0,0,121
flat,raheja vedaanta,sector 108,0.7,5139.500734214391,2.0,2.0,2,12.0,Moderately Old,1362.0,0,0,0,0,0,0,72
flat,conscient heritage max,sector 102,2.1,10796.915167095116,3.0,4.0,3+,10.0,Relatively New,1945.0,1,1,0,0,0,0,53
house,independent,sector 10a,1.7,18888.88888888889,2.0,1.0,2,2.0,Old Property,900.0,0,0,0,0,1,0,8
flat,zara aavaas,sector 104,0.26,8637.873754152824,1.0,1.0,2,0.0,Relatively New,301.0,0,0,0,0,0,0,91
flat,imperia the esfera,sector 37c,0.87,6692.307692307692,2.0,3.0,3+,5.0,Relatively New,1300.0,1,0,0,0,0,0,109
flat,green court,sector 90,0.47,6127.770534550195,2.0,2.0,1,0.0,New Property,767.0,0,0,0,0,0,0,49
house,independent,sector 105,0.35,6294.964028776978,2.0,2.0,1,2.0,Moderately Old,556.0,0,0,0,0,0,0,0
house,central park flower valley cerise floors,sector 33,1.35,11157.02479338843,2.0,2.0,2,4.0,New Property,1210.0,1,0,0,0,0,1,107
flat,pioneer park,sector 61,2.0,13003.901170351106,3.0,3.0,3,24.0,Moderately Old,1538.0,0,0,0,0,0,2,75
flat,ireo skyon,sector 60,2.12,15703.703703703704,2.0,2.0,2,2.0,Relatively New,1350.0,0,0,0,1,0,2,174
flat,signature global solera,sector 107,0.37,7459.677419354839,2.0,2.0,1,10.0,Relatively New,496.0,0,0,0,0,0,0,73
flat,m3m merlin,sector 67,2.78,13580.850024425987,3.0,3.0,3+,4.0,Relatively New,2047.0,0,0,0,1,0,2,157
flat,bptp mansions park prime,sector 66,3.0,11111.111111111111,4.0,4.0,3,3.0,Relatively New,2700.0,1,1,0,1,1,2,174
flat,tulip violet,sector 69,1.29,9090.90909090909,3.0,3.0,1,12.0,Relatively New,1419.0,0,0,0,1,0,2,86
house,sector 57 huda,sector 57,3.8,26063.10013717421,8.0,8.0,3+,4.0,Relatively New,1458.0,0,0,1,1,0,2,94
house,bptp visionnaire,sector 70a,4.6,17624.521072796935,4.0,4.0,3+,3.0,Moderately Old,2610.0,1,1,1,1,0,0,96
flat,ild grand,sector 37c,0.66,5038.167938931298,2.0,2.0,3+,14.0,Relatively New,1310.0,0,0,0,0,0,0,60
flat,unitech the residences,sector 33,1.55,10907.811400422237,3.0,4.0,1,1.0,Relatively New,1421.0,0,1,0,0,0,0,37
house,vatika india next,sector 82,7.0,17948.71794871795,4.0,4.0,3+,3.0,Relatively New,3900.0,0,1,0,0,0,1,105
flat,dlf ridgewood estate,sector 28,2.0,16129.032258064517,3.0,3.0,1,12.0,Old Property,1240.0,0,0,0,0,0,2,96
flat,friends apartment,sector 52,2.0,9564.801530368244,4.0,3.0,3,5.0,Moderately Old,2091.0,0,1,0,0,0,1,111
flat,gls avenue 51,sector 92,0.42,5907.172995780591,3.0,3.0,1,2.0,Relatively New,711.0,0,0,0,0,0,0,20
flat,bptp pedestal,sector 70a,1.9,9000.473709142587,4.0,3.0,3,2.0,New Property,2111.0,0,0,1,0,0,0,133
flat,vipul lavanya,sector 81,1.0,8841.732979664013,2.0,2.0,2,7.0,Relatively New,1131.0,0,0,0,0,0,0,31
flat,bestech spa signature,sector 81,4.45,11558.441558441558,4.0,4.0,3+,8.0,Relatively New,3850.0,1,1,0,1,1,2,49
house,ansals palam vihar,sector 2,9.0,19230.76923076923,5.0,5.0,2,2.0,Old Property,4680.0,1,1,1,1,0,1,110
flat,bptp astaire gardens,sector 70a,1.2,8275.862068965518,3.0,3.0,3+,2.0,Relatively New,1450.0,0,0,0,0,0,1,38
house,uppal southend,sector 49,6.75,32327.58620689655,4.0,4.0,3,3.0,Relatively New,2088.0,0,1,0,0,0,2,26
flat,elan mercado,sector 80,0.85,11169.51379763469,1.0,1.0,1,15.0,Relatively New,761.0,0,0,0,0,0,0,60
flat,raheja navodaya,sector 92,0.85,4719.600222098834,3.0,3.0,3,2.0,Relatively New,1801.0,0,0,0,0,0,0,100
flat,tulip violet,sector 69,1.7,11904.761904761905,3.0,3.0,2,0.0,Relatively New,1428.0,0,0,0,1,0,0,49
flat,m3m golfestate,sector 65,4.94,17937.545388525785,3.0,4.0,3,15.0,Moderately Old,2754.0,0,1,0,0,0,0,165
flat,tulip violet,sector 69,1.85,10170.423309510721,4.0,4.0,2,14.0,Relatively New,1819.0,0,0,0,0,0,2,157
flat,dlf the primus,sector 82a,3.5,12085.635359116022,5.0,5.0,3+,14.0,Relatively New,2896.0,1,0,0,0,0,1,49
flat,godrej nature plus,sector 33,1.75,8767.53507014028,3.0,3.0,0,2.0,Under Construction,1996.0,0,0,0,0,0,0,56
flat,assotech blith,sector 99,1.15,9311.74089068826,2.0,2.0,2,2.0,New Property,1235.0,0,0,0,0,1,2,72
flat,emaar gurgaon greens,sector 102,1.3,9365.994236311239,3.0,3.0,3,7.0,Relatively New,1388.0,0,1,0,0,0,0,93
flat,godrej,sector 79,2.0,7607.455306200076,3.0,4.0,3+,2.0,Relatively New,2629.0,0,1,0,0,0,2,156
flat,ireo the grand arch,sector 58,3.8,17560.07393715342,3.0,4.0,1,19.0,Moderately Old,2164.0,0,1,0,0,0,2,167
house,independent,sector 3 phase 3 extension,1.0,6666.666666666667,1.0,1.0,0,1.0,Moderately Old,1500.0,0,0,0,0,0,0,0
house,independent,sector 7,1.75,11111.111111111111,4.0,2.0,2,2.0,Old Property,1575.0,0,0,0,0,1,0,31
flat,hcbs sports ville,sector 2,0.35,4375.0,2.0,2.0,2,8.0,Relatively New,800.0,0,0,0,0,0,0,37
flat,ss the coralwood,sector 84,1.1,6432.748538011696,3.0,3.0,3+,12.0,Moderately Old,1710.0,0,0,0,0,0,2,104
house,independent,sector 7,1.15,76666.66666666667,5.0,3.0,2,2.0,Old Property,150.0,0,0,0,1,0,0,15
flat,ss the leaf,sector 85,1.87,8404.494382022473,3.0,4.0,3,7.0,Relatively New,2225.0,0,0,0,0,0,0,49
house,rajendra park gurgaon,sector 105,0.37,10277.777777777777,4.0,3.0,2,3.0,Relatively New,360.0,0,0,0,0,0,0,0
house,independent,sector 50,11.58,35740.74074074074,5.0,5.0,3,2.0,Moderately Old,3240.0,0,1,0,0,0,0,20
flat,ats triumph,sector 104,2.3,9040.880503144654,3.0,4.0,3+,15.0,New Property,2544.0,0,1,0,0,0,0,117
flat,emaar mgf emerald floors premier,sector 65,2.85,12989.972652689152,4.0,4.0,3,3.0,Relatively New,2194.0,1,1,0,0,0,0,28
flat,pyramid urban homes 2,sector 86,0.43,7719.928186714542,2.0,2.0,1,6.0,New Property,557.0,0,0,0,0,1,0,72
house,independent,sector 81,0.89,8127.853881278539,1.0,1.0,0,1.0,Relatively New,1095.0,0,0,0,0,0,0,0
flat,orchid petals,sector 49,4.52,12137.486573576798,5.0,5.0,3+,14.0,Moderately Old,3724.0,1,1,0,1,0,0,49
flat,godrej summit,sector 104,1.35,4500.0,4.0,5.0,3+,0.0,Relatively New,3000.0,1,1,1,1,0,0,112
flat,ild greens,sector 37c,0.95,5598.114319387154,3.0,3.0,3+,0.0,New Property,1697.0,0,0,0,0,0,0,51
flat,aipl zen residences,sector 70a,1.25,8915.83452211127,2.0,2.0,2,19.0,New Property,1402.0,0,0,0,0,0,0,42
flat,shree vardhman flora,sector 90,0.96,5657.041838538597,3.0,4.0,3,3.0,New Property,1697.0,0,1,0,0,0,0,106
flat,ss the leaf,sector 85,2.7,8568.708346556648,4.0,4.0,3+,23.0,New Property,3151.0,0,0,0,0,0,0,21
flat,mapsko mount ville,sector 79,1.25,10831.889081455805,3.0,3.0,3,22.0,Relatively New,1154.0,1,0,0,1,0,0,160
flat,global hill view,sector 11,0.36,5150.214592274678,2.0,2.0,0,15.0,Relatively New,699.0,0,0,0,0,0,0,0
house,emaar mgf marbella,sector 66,1.5,2307.6923076923076,4.0,4.0,3+,3.0,New Property,6500.0,1,1,1,1,0,0,136
flat,pyramid urban homes 2,sector 86,0.43,7719.928186714542,2.0,2.0,1,6.0,New Property,557.0,1,0,0,0,0,0,92
flat,ireo victory valley,sector 67,3.15,14195.58359621451,3.0,4.0,3+,15.0,Relatively New,2219.0,0,1,0,1,0,2,149
house,unitech aspen greens,sector 50,6.8,31481.48148148148,4.0,5.0,3,3.0,Old Property,2160.0,1,1,0,0,0,2,111
flat,breez global heights,sohna road,0.28,6320.541760722349,1.0,1.0,1,4.0,New Property,443.0,0,0,0,0,0,1,26
flat,ats marigold,sector 89,1.85,9506.680369989723,3.0,3.0,3+,12.0,New Property,1946.0,0,1,0,0,0,0,37
flat,m3m sierra 68,sector 68,1.25,13326.226012793177,2.0,2.0,3,4.0,New Property,938.0,0,0,0,0,0,0,44
flat,emaar palm gardens,sector 83,1.4,8849.557522123894,3.0,3.0,3,11.0,Relatively New,1582.0,0,1,0,0,0,1,58
house,signature global city,sector 37d,1.27,8089.171974522293,3.0,3.0,3,4.0,Under Construction,1570.0,0,0,0,1,0,0,89
flat,the lions cghs,sector 56,1.99,9950.0,4.0,4.0,3+,4.0,Old Property,2000.0,0,0,0,1,1,2,105
flat,imperia the esfera,sector 37c,0.99,5963.855421686747,3.0,4.0,3,9.0,Relatively New,1660.0,0,1,0,0,0,0,49
flat,m3m heights,sector 65,1.9,13991.163475699559,2.0,2.0,2,40.0,Relatively New,1358.0,0,0,0,0,0,0,48
flat,m3m skywalk,sector 74,1.57,12076.923076923076,2.0,2.0,3+,10.0,Relatively New,1300.0,0,0,0,0,1,0,137
house,independent,sector 70a,2.1,31484.257871064467,3.0,2.0,1,3.0,New Property,667.0,0,0,0,0,0,0,0
flat,bptp terra,sector 37d,1.65,7890.961262553802,4.0,3.0,3+,6.0,Relatively New,2091.0,0,0,0,0,0,2,149
flat,m3m capital,sector 113,2.9,11359.185272228751,4.0,4.0,3+,11.0,Under Construction,2553.0,1,1,0,0,0,0,49
house,independent,sector 43,5.5,28423.77260981912,1.0,1.0,0,1.0,Old Property,1935.0,0,0,0,0,1,0,12
flat,dlf regal gardens,sector 90,1.29,7099.614749587232,3.0,3.0,3+,12.0,Relatively New,1817.0,0,1,0,0,0,0,152
house,international city by sobha phase 2,sector 109,6.2,25514.40329218107,5.0,5.0,2,2.0,Relatively New,2430.0,0,1,0,0,0,0,135
house,independent,sector 4,0.5,94339.62264150943,5.0,3.0,0,1.0,Moderately Old,53.0,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,1.2,10084.033613445377,2.0,2.0,2,4.0,Relatively New,1190.0,0,1,1,0,0,0,81
flat,prime habitat,sector 99a,0.27,4891.304347826087,2.0,2.0,1,4.0,New Property,552.0,0,0,0,0,0,0,7
flat,smart world gems,sector 89,0.95,7748.776508972268,2.0,2.0,2,4.0,New Property,1226.0,1,1,0,0,0,0,38
flat,hcbs sports ville,sohna road,0.29,3903.0955585464335,2.0,2.0,1,4.0,Relatively New,743.0,0,0,0,0,0,0,0
house,independent,sohna road,1.5,128205.1282051282,2.0,3.0,2,1.0,New Property,117.0,1,0,0,1,0,2,69
flat,vatika gurgaon,sector 83,1.25,7352.941176470588,3.0,3.0,2,12.0,Moderately Old,1700.0,0,1,0,0,0,0,95
flat,mvn athens,sohna road,0.27,5314.96062992126,2.0,2.0,1,0.0,Relatively New,508.0,0,0,0,0,0,2,69
flat,ramprastha the edge towers,sector 37d,1.1,5527.638190954774,3.0,3.0,3,9.0,Relatively New,1990.0,0,0,0,0,0,0,63
flat,emaar palm gardens,sector 83,1.8,9473.684210526315,3.0,4.0,0,9.0,Relatively New,1900.0,0,0,0,0,0,0,55
house,ansals palam vihar,sector 2,5.7,12527.472527472528,5.0,5.0,2,2.0,Old Property,4550.0,0,0,0,1,0,1,94
flat,ramprastha the edge towers,sector 37d,0.8,6106.8702290076335,2.0,2.0,3,10.0,Relatively New,1310.0,0,0,0,0,1,0,166
house,independent,sector 2,4.95,20370.37037037037,6.0,5.0,3+,3.0,Relatively New,2430.0,0,1,0,0,0,0,91
house,ardee city,sector 52,2.25,12500.0,3.0,3.0,3,4.0,New Property,1800.0,0,1,0,0,0,2,22
flat,emaar mgf emerald estate,sector 65,1.73,13708.399366085578,3.0,3.0,3,9.0,Relatively New,1262.0,0,1,0,0,0,1,159
flat,ansal heights 86,sector 86,1.05,6122.448979591837,3.0,3.0,3,9.0,Under Construction,1715.0,0,1,0,0,0,0,0
flat,sobha city,sector 108,2.4,19200.0,2.0,2.0,2,14.0,New Property,1250.0,0,0,0,0,0,2,113
flat,hcbs sports ville,sohna road,0.29,5025.996533795494,2.0,2.0,1,4.0,Relatively New,577.0,0,0,0,0,0,0,44
flat,bestech park view sanskruti,sector 92,1.83,8697.718631178706,4.0,3.0,3,8.0,New Property,2104.0,0,1,0,0,0,0,128
flat,corona optus,sector 37c,1.5,7029.053420805998,3.0,4.0,3+,14.0,New Property,2134.0,0,1,0,0,1,0,83
flat,spire woods now ananda by alpha corp,sector 103,1.25,6212.72365805169,3.0,4.0,3,11.0,Under Construction,2012.0,1,1,0,0,0,0,105
house,eldeco mansionz,sector 48,6.0,22222.222222222223,4.0,4.0,3+,2.0,Moderately Old,2700.0,0,1,0,0,0,0,69
flat,laxmi apartment sector 99a gurgaon,sector 99a,0.3,5000.0,2.0,2.0,1,4.0,New Property,600.0,0,0,0,0,0,0,44
flat,capital residences 360,sector 70a,1.51,8445.190156599552,3.0,3.0,3,7.0,Relatively New,1788.0,0,1,0,0,0,0,49
flat,pyramid urban homes 2,sector 86,0.5,8726.003490401396,2.0,2.0,2,6.0,Old Property,573.0,0,0,0,0,0,0,15
flat,godrej summit,sector 104,0.85,6698.187549251379,2.0,2.0,3+,10.0,Relatively New,1269.0,1,0,0,0,0,0,79
house,independent,sector 3,0.9,2571.4285714285716,3.0,4.0,3,3.0,Moderately Old,3500.0,0,0,0,0,1,2,42
flat,ss the leaf,sector 85,1.06,7010.58201058201,2.0,2.0,2,12.0,Relatively New,1512.0,0,0,0,0,0,0,44
house,independent,sector 12,2.9,10740.74074074074,7.0,7.0,3,2.0,Old Property,2700.0,0,0,0,0,0,0,7
house,independent,sector 25,8.0,7200.072000720007,3.0,9.0,2,3.0,New Property,11111.0,0,0,0,0,0,0,0
